Country,Year,PovertyHCR,LifeExpectancy,Population,PopulationGrowth,NetMigration,GDP,GDPGrowth,Unemployment,Inflation,ReceivedRemittances,AccessElectricity,CO2Emissions,SanitationServices,InternetUsage,ForeignDirectInvestment,StuntingPrevalence
Palau,2008,.,.,"19,102",-1.4,-342,"198,283,900",-5.8,.,12,0.8,98.5,11.1,.,.,2.4,.
Palau,2013,.,.,"17,805",-0.8,-50,"221,117,200",-3.4,.,3.4,1.1,99.2,12.4,.,.,8.2,.
Palau,2019,.,.,"17,916",0.3,8,"281,970,375",0.2,.,0.3,0.9,100,12.1,.,.,19.2,.
Samoa,2002,2.2,71,"186,630",0.6,"-3,772","281,790,134",5.7,5,8.1,16,89.3,0.9,48,2,0.6,.
Samoa,2008,1.1,72,"191,787",0.7,"-3,244","641,346,192",3.6,5.5,11.6,17,98.1,0.9,49,5,7.2,.
Samoa,2013,1.2,72,"199,939",0.9,"-3,182","797,736,334",0.1,8.8,0.6,20.6,97,1,48,15,1.7,.
Samoa,2019,.,72,"211,905",1,"-2,469","912,950,466",4.5,9.6,1,17,99.2,1.3,45,61,-0.2,7.3
Soloman Islands,2002,.,68,"450,760",2.3,"-2,603","346,406,739",-2.8,2.6,10.9,0.9,10.5,0.6,.,1,0,.
Soloman Islands,2008,.,68,"516,001",2.3,"-2,964","776,337,692",6.2,2,17.3,1.6,28.1,0.6,.,3,9.7,.
Soloman Islands,2013,.,69,"582,365",2.5,"-1,603","1,290,000,000",5.2,0.7,5.4,1.6,44.7,0.7,.,8,4.2,.
Soloman Islands,2019,.,70,"674,993",2.4,"-1,603","1,620,000,000",1.7,0.7,1.6,1.6,69.4,0.5,.,28,2,.
Tonga,2002,.,69,"103,804",0.6,"-1,712","182,764,281",4.8,4.8,10.4,34,87,1,34,3,2.6,.
Tonga,2008,.,70,"106,932",0.3,"-2,085","344,436,582",4.8,1.3,10.4,30,91.2,1.2,36,8,6.2,.
Tonga,2013,.,71,"107,089",-0.4,"-2,558","450,650,633",0.3,1.8,0.8,27.2,95.1,1.1,36,33,1.4,.
Tonga,2019,.,71,"103,951",-0.2,"-1,898","512,053,692",0.7,2.1,1.2,37.2,98.4,1.5,33,62,0.3,2.2
Tuvalu,2002,.,64,"9,609",-0.1,-146,"16,842,673",9.5,.,.,38.8,94.6,0.9,43,6,-0.1,.
Tuvalu,2008,.,64,"10,272",1.2,-1,"31,874,435",6.7,.,.,18.7,96.2,0.9,44,11,5.3,.
Tuvalu,2013,.,64,"10,918",0.6,-150,"38,615,891",4.3,.,.,9.5,97.6,0.8,42,21,0.9,.
Tuvalu,2019,.,64,"10,956",0.8,-57,"54,123,199",13.8,.,.,4.4,99.7,0.8,39,.,0.6,5.7
Vanuatu,2002,.,69,"202,125",2.6,-351,"262,596,536",-5.2,8.6,2,1.6,25.7,0.4,.,4,5.4,.
Vanuatu,2008,.,70,"233,952",2.4,-531,"590,748,429",5.6,5.7,4.8,1.5,36.5,0.4,.,7,6.4,.
Vanuatu,2013,.,70,"263,534",2.4,-824,"758,304,466",0.5,5,1.5,3.1,31.7,0.4,.,11,7.8,25.7
Vanuatu,2019,10,70,"304,404",2.4,-403,"914,736,985",3.2,5.4,2.8,20.2,64.5,0.5,.,51,4,.
